rule;side;dataset;field;filter;minus
Fechamento dos níveis das contas de controle *.1.1.3.1.08.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.08.');
Fechamento dos níveis das contas de controle *.1.1.3.1.08.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.08.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.08.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.08.');
Fechamento dos níveis das contas de controle *.1.1.3.1.08.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.08.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.12.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.12.');
Fechamento dos níveis das contas de controle *.1.1.3.1.12.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.12.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.12.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.12.');
Fechamento dos níveis das contas de controle *.1.1.3.1.12.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.12.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.13.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.13.');
Fechamento dos níveis das contas de controle *.1.1.3.1.13.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.13.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.13.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.13.');
Fechamento dos níveis das contas de controle *.1.1.3.1.13.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.13.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.99.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.99.');
Fechamento dos níveis das contas de controle *.1.1.3.1.99.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.99.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.99.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.99.');
Fechamento dos níveis das contas de controle *.1.1.3.1.99.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.99.');1
Fechamento dos níveis das contas de controle *.1.1.4.1.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.4.1.');
Fechamento dos níveis das contas de controle *.1.1.4.1.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.4.1.');1
Fechamento dos níveis das contas de controle *.1.1.4.1.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.4.1.');
Fechamento dos níveis das contas de controle *.1.1.4.1.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.4.1.');1
Fechamento dos níveis das contas de controle *.1.1.4.2.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.4.2.');
Fechamento dos níveis das contas de controle *.1.1.4.2.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.4.2.');1
Fechamento dos níveis das contas de controle *.1.1.4.2.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.4.2.');
Fechamento dos níveis das contas de controle *.1.1.4.2.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.4.2.');1
Fechamento dos níveis das contas de controle *.1.1.4.3.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.4.3.');
Fechamento dos níveis das contas de controle *.1.1.4.3.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.4.3.');1
